Data,Label
-198.0,0
-97.0,0
-7.0,0
59.0,0
120.0,0
-30.0,0
-210.0,0
-375.0,0
-408.0,0
-435.0,0
-438.0,0
-442.0,0
-496.0,0
-496.0,0
-517.0,0
-380.0,0
-210.0,0
-410.0,0
-542.0,0
-644.0,0
-892.0,0
310.0,0
4134.0,0
421.0,0
-121.0,0
-297.0,0
-214.0,0
-259.0,0
-91.0,0
28.0,0
135.0,0
275.0,0
354.0,0
439.0,0
517.0,0
596.0,0
529.0,0
295.0,0
133.0,0
48.0,0
-57.0,0
-121.0,0
-181.0,0
-240.0,0
-354.0,0
-379.0,0
-373.0,0
-241.0,0
-66.0,0
-197.0,0
-336.0,0
-401.0,0
-660.0,0
703.0,0
4419.0,0
700.0,0
124.0,0
-45.0,0
-2.0,0
-81.0,0
63.0,0
158.0,0
268.0,0
357.0,0
449.0,0
502.0,0
558.0,0
652.0,0
547.0,0
324.0,0
176.0,0
56.0,0
32.0,0
-30.0,0
-61.0,0
-92.0,0
-169.0,0
-291.0,0
-383.0,0
-407.0,0
-211.0,0
-93.0,0
-72.0,0
-193.0,0
-299.0,0
-330.0,0
-607.0,0
5416.0,0
902.0,0
285.0,0
-29.0,0
-21.0,0
4.0,0
59.0,0
110.0,0
176.0,0
237.0,0
273.0,0
325.0,0
415.0,0
446.0,0
441.0,0
276.0,0
81.0,0
-66.0,0
-121.0,0
-186.0,0
-210.0,0
-244.0,0
-307.0,0
-410.0,0
-428.0,0
-510.0,0
-352.0,0
-340.0,0
-339.0,0
-554.0,0
-676.0,0
-741.0,0
-791.0,0
5262.0,0
524.0,0
-96.0,0
-379.0,0
-342.0,0
-297.0,0
-284.0,0
-182.0,0
-145.0,0
-63.0,0
-4.0,0
63.0,0
145.0,0
206.0,0
175.0,0
-12.0,0
-198.0,0
-321.0,0
-358.0,0
-372.0,0
-371.0,0
-340.0,0
-331.0,0
-360.0,0
-350.0,0
-240.0,0
-54.0,0
-270.0,0
-492.0,0
-520.0,0
-953.0,0
1466.0,0
2971.0,0
258.0,0
-244.0,0
-331.0,0
-316.0,0
-330.0,0
-215.0,0
-91.0,0
-3.0,0
157.0,0
236.0,0
295.0,0
394.0,0
416.0,0
326.0,0
143.0,0
-19.0,0
-108.0,0
-209.0,0
-250.0,0
-314.0,0
-380.0,0
-429.0,0
-531.0,0
-421.0,0
-293.0,0
-349.0,0
-511.0,0
-681.0,0
-701.0,0
-1331.0,0
4799.0,0
602.0,0
-44.0,0
-369.0,0
-351.0,0
-415.0,0
-263.0,0
-142.0,0
-20.0,0
170.0,0
297.0,0
358.0,0
446.0,0
539.0,0
507.0,0
337.0,0
140.0,0
25.0,0
-17.0,0
-93.0,0
-168.0,0
-207.0,0
-327.0,0
-351.0,0
-258.0,0
-134.0,0
-194.0,0
-324.0,0
-447.0,0
-452.0,0
-1095.0,0
5138.0,0
830.0,0
125.0,0
-151.0,0
-155.0,0
-230.0,0
-96.0,0
20.0,0
143.0,0
289.0,0
418.0,0
512.0,0
537.0,0
597.0,0
549.0,0
355.0,0
116.0,0
-61.0,0
-174.0,0
-273.0,0
-341.0,0
-384.0,0
-475.0,0
-529.0,0
-447.0,0
-336.0,0
-506.0,0
-755.0,0
-888.0,0
-1089.0,0
-596.0,0
4127.0,0
-58.0,0
-716.0,0
-934.0,0
-882.0,0
-978.0,0
-825.0,0
-694.0,0
-533.0,0
-335.0,0
-206.0,0
-76.0,0
-9.0,0
90.0,0
6.0,0
-211.0,0
-362.0,0
-497.0,0
-561.0,0
-650.0,0
-712.0,0
-796.0,0
-914.0,0
-853.0,0
-809.0,0
-683.0,0
-807.0,0
-1031.0,0
-1033.0,0
-1954.0,0
2407.0,0
1666.0,0
-420.0,0
-818.0,0
-939.0,0
-914.0,0
-883.0,0
-737.0,0
-564.0,0
-345.0,0
-124.0,0
25.0,0
97.0,0
205.0,0
276.0,0
85.0,0
-122.0,0
-264.0,0
-329.0,0
-366.0,0
-415.0,0
-410.0,0
-420.0,0
-443.0,0
-356.0,0
-261.0,0
-207.0,0
-338.0,0
-555.0,0
-560.0,0
-1619.0,0
4118.0,0
1310.0,0
30.0,0
-415.0,0
-412.0,0
-345.0,0
-278.0,0
-180.0,0
-69.0,0
96.0,0
187.0,0
308.0,0
387.0,0
496.0,0
567.0,0
405.0,0
168.0,0
58.0,0
-42.0,0
-122.0,0
-176.0,0
-231.0,0
-313.0,0
-383.0,0
-410.0,0
-277.0,0
-91.0,0
-305.0,0
-618.0,0
-680.0,0
-1077.0,0
412.0,0
4057.0,0
114.0,0
-551.0,0
-710.0,0
-705.0,0
-648.0,0
-581.0,0
-464.0,0
-324.0,0
-241.0,0
-94.0,0
24.0,0
85.0,0
178.0,0
88.0,0
-134.0,0
-277.0,0
-328.0,0
-356.0,0
-345.0,0
-329.0,0
-342.0,0
-352.0,0
-410.0,0
-270.0,0
-218.0,0
-348.0,0
-547.0,0
-818.0,0
-908.0,0
-1634.0,0
4444.0,0
-7.0,0
-642.0,0
-907.0,0
-937.0,0
-934.0,0
-875.0,0
-741.0,0
-569.0,0
-414.0,0
-251.0,0
-123.0,0
-38.0,0
59.0,0
91.0,0
-84.0,0
-303.0,0
-390.0,0
-442.0,0
-491.0,0
-489.0,0
-531.0,0
-531.0,0
-561.0,0
-414.0,0
-265.0,0
-387.0,0
-596.0,0
-708.0,0
-929.0,0
-540.0,0
4138.0,0
134.0,0
-422.0,0
-665.0,0
-653.0,0
-736.0,0
-608.0,0
-468.0,0
-285.0,0
-137.0,0
9.0,0
120.0,0
174.0,0
320.0,0
275.0,0
54.0,0
-153.0,0
-264.0,0
-342.0,0
-342.0,0
-408.0,0
-473.0,0
-555.0,0
-646.0,0
-565.0,0
-398.0,0
-524.0,0
-749.0,0
-856.0,0
-1002.0,0
-1004.0,0
4209.0,0
-44.0,0
-616.0,0
-938.0,0
-913.0,0
-1024.0,0
-885.0,0
-784.0,0
-611.0,0
-461.0,0
-352.0,0
-238.0,0
-119.0,0
16.0,0
-3.0,0
-161.0,0
-347.0,0
-440.0,0
-491.0,0
-531.0,0
-547.0,0
-592.0,0
-687.0,0
-793.0,0
-847.0,0
-745.0,0
-689.0,0
-838.0,0
-1053.0,0
-1060.0,0
-2121.0,0
3162.0,0
866.0,0
-576.0,0
-1047.0,0
-1147.0,0
-1162.0,0
-1159.0,0
-1029.0,0
-881.0,0
-729.0,0
-592.0,0
-454.0,0
-336.0,0
-271.0,0
-238.0,0
-394.0,0
-622.0,0
-751.0,0
-854.0,0
-946.0,0
-976.0,0
-1025.0,0
-1089.0,0
-1178.0,0
-1282.0,0
-1136.0,0
-1069.0,0
-1122.0,0
-1271.0,0
-1473.0,0
-1486.0,0
-2291.0,0
3851.0,0
-421.0,0
-1200.0,0
-1570.0,0
-1623.0,0
-1702.0,0
-1606.0,0
-1503.0,0
-1362.0,0
-1214.0,0
-1032.0,0
-869.0,0
-765.0,0
-623.0,0
-503.0,0
-623.0,0
-797.0,0
-897.0,0
-941.0,0
-942.0,0
-894.0,0
-853.0,0
-879.0,0
-854.0,0
-903.0,0
-722.0,0
-583.0,0
-564.0,0
-632.0,0
-764.0,0
-766.0,0
-1310.0,0
4867.0,0
389.0,0
-297.0,0
-649.0,0
-679.0,0
-641.0,0
-616.0,0
-591.0,0
-445.0,0
-322.0,0
-203.0,0
-94.0,0
-30.0,0
115.0,0
140.0,0
-35.0,0
-189.0,0
-356.0,0
-424.0,0
-503.0,0
-545.0,0
-587.0,0
-635.0,0
-734.0,0
-794.0,0
-684.0,0
-620.0,0
-573.0,0
-709.0,0
-886.0,0
-908.0,0
-1932.0,0
4389.0,0
374.0,0
-582.0,0
-1093.0,0
-1091.0,0
-1034.0,0
-966.0,0
-878.0,0
-756.0,0
-646.0,0
-503.0,0
-321.0,0
-233.0,0
-126.0,0
-53.0,0
-221.0,0
-403.0,0
-499.0,0
-594.0,0
-588.0,0
-588.0,0
-647.0,0
-742.0,0
-761.0,0
-812.0,0
-631.0,0
-484.0,0
-443.0,0
-533.0,0
-733.0,0
-722.0,0
-1529.0,0
4871.0,0
457.0,0
-307.0,0
-696.0,0
-702.0,0
-707.0,0
-650.0,0
-593.0,0
-475.0,0
-333.0,0
-175.0,0
-74.0,0
30.0,0
139.0,0
158.0,0
-72.0,0
-249.0,0
-380.0,0
-445.0,0
-436.0,0
-470.0,0
-525.0,0
-526.0,0
-554.0,0
-445.0,0
-342.0,0
-322.0,0
-477.0,0
-675.0,0
-710.0,0
-1650.0,0
4327.0,0
281.0,0
-401.0,0
-753.0,0
-825.0,0
-804.0,0
-739.0,0
-585.0,0
-454.0,0
-242.0,0
-41.0,0
27.0,0
118.0,0
242.0,0
254.0,0
87.0,0
-94.0,0
-240.0,0
-327.0,0
-377.0,0
-403.0,0
-406.0,0
-440.0,0
-487.0,0
-354.0,0
-210.0,0
-383.0,0
-501.0,0
-673.0,0
-748.0,0
-1377.0,0
4546.0,0
215.0,0
-400.0,0
-720.0,0
-728.0,0
-795.0,0
-687.0,0
-520.0,0
-333.0,0
-168.0,0
9.0,0
148.0,0
199.0,0
322.0,0
293.0,0
137.0,0
-47.0,0
-227.0,0
-340.0,0
-410.0,0
-408.0,0
-408.0,0
-463.0,0
-496.0,0
-398.0,0
-295.0,0
-400.0,0
-553.0,0
-734.0,0
-810.0,0
-1320.0,0
4674.0,0
265.0,0
-386.0,0
-662.0,0
-677.0,0
-736.0,0
-598.0,0
-492.0,0
-310.0,0
-120.0,0
83.0,0
204.0,0
286.0,0
422.0,0
443.0,0
255.0,0
62.0,0
-40.0,0
-91.0,0
-149.0,0
-214.0,0
-231.0,0
-297.0,0
-354.0,0
-338.0,0
-272.0,0
-159.0,0
-327.0,0
-564.0,0
-588.0,0
-1569.0,0
2767.0,0
1454.0,0
-36.0,0
-482.0,0
-594.0,0
-605.0,0
-588.0,0
-438.0,0
-247.0,0
-55.0,0
113.0,0
239.0,0
324.0,0
415.0,0
459.0,0
303.0,0
122.0,0
-25.0,0
-95.0,0
-207.0,0
-265.0,0
-301.0,0
-348.0,0
-366.0,0
-391.0,0
-302.0,0
-122.0,0
-352.0,0
-503.0,0
-624.0,0
-1274.0,0
1574.0,0
2976.0,0
89.0,0
-428.0,0
-616.0,0
-580.0,0
-642.0,0
-501.0,0
-354.0,0
-212.0,0
-56.0,0
38.0,0
112.0,0
201.0,0
307.0,0
221.0,0
56.0,0
-106.0,0
-204.0,0
-259.0,0
-328.0,0
-360.0,0
-326.0,0
-352.0,0
-440.0,0
-338.0,0
-240.0,0
-259.0,0
-372.0,0
-547.0,0
-558.0,0
-1560.0,0
4821.0,0
589.0,0
-132.0,0
-533.0,0
-556.0,0
-528.0,0
-501.0,0
-384.0,0
-278.0,0
-188.0,0
-89.0,0
-31.0,0
0.0,0
0.0,0
-104.0,0
-354.0,0
-517.0,0
-615.0,0
-677.0,0
-682.0,0
-650.0,0
-646.0,0
-618.0,0
-693.0,0
-768.0,0
-601.0,0
-501.0,0
-403.0,0
-555.0,0
-729.0,0
-744.0,0
-1504.0,0
5122.0,0
358.0,0
-292.0,0
-735.0,0
-699.0,0
-702.0,0
-649.0,0
-585.0,0
-443.0,0
-294.0,0
-129.0,0
-2.0,0
105.0,0
224.0,0
250.0,0
-24.0,0
-273.0,0
-412.0,0
-499.0,0
-565.0,0
-586.0,0
-627.0,0
-625.0,0
-737.0,0
-768.0,0
-680.0,0
-445.0,0
-599.0,0
-717.0,0
-743.0,0
-1217.0,0
715.0,0
3225.0,0
24.0,0
-549.0,0
-607.0,0
-577.0,0
-553.0,0
-454.0,0
-317.0,0
-177.0,0
-53.0,0
112.0,0
197.0,0
265.0,0
379.0,0
300.0,0
67.0,0
-144.0,0
-290.0,0
-355.0,0
-408.0,0
-470.0,0
-468.0,0
-527.0,0
-605.0,0
-506.0,0
-356.0,0
-464.0,0
-582.0,0
-696.0,0
-771.0,0
-1221.0,0
4522.0,0
259.0,0
-356.0,0
-650.0,0
-661.0,0
-706.0,0
-550.0,0
-413.0,0
-244.0,0
-82.0,0
58.0,0
145.0,0
198.0,0
306.0,0
296.0,0
84.0,0
-110.0,0
-235.0,0
-329.0,0
-390.0,0
-380.0,0
-403.0,0
-487.0,0
-555.0,0
-561.0,0
-466.0,0
-281.0,0
-468.0,0
-686.0,0
-701.0,0
-1364.0,0
1587.0,0
2668.0,0
4.0,0
-550.0,0
-723.0,0
-650.0,0
-727.0,0
-554.0,0
-382.0,0
-267.0,0
-118.0,0
18.0,0
127.0,0
180.0,0
292.0,0
147.0,0
-100.0,0
-276.0,0
-380.0,0
-461.0,0
-468.0,0
-501.0,0
-496.0,0
-551.0,0
-616.0,0
-644.0,0
-487.0,0
-359.0,0
-487.0,0
-682.0,0
-736.0,0
-1508.0,0
2416.0,0
2315.0,0
1.0,0
-489.0,0
-614.0,0
-558.0,0
-573.0,0
-384.0,0
-274.0,0
-149.0,0
-20.0,0
77.0,0
176.0,0
264.0,0
376.0,0
208.0,0
-2.0,0
-210.0,0
-293.0,0
-371.0,0
-387.0,0
-433.0,0
-456.0,0
-511.0,0
-594.0,0
-646.0,0
-508.0,0
-364.0,0
-405.0,0
-506.0,0
-642.0,0
-690.0,0
-1160.0,0
4695.0,0
246.0,0
-341.0,0
-640.0,0
-669.0,0
-763.0,0
-642.0,0
-534.0,0
-403.0,0
-234.0,0
-89.0,0
-25.0,0
57.0,0
77.0,0
82.0,0
-141.0,0
-378.0,0
-531.0,0
-532.0,0
-616.0,0
-637.0,0
-615.0,0
-649.0,0
-733.0,0
-823.0,0
-825.0,0
-677.0,0
-519.0,0
-644.0,0
-779.0,0
-828.0,0
-1060.0,0
-249.0,0
4200.0,0
16.0,0
-642.0,0
-886.0,0
-916.0,0
-873.0,0
-859.0,0
-750.0,0
-679.0,0
-593.0,0
-442.0,0
-326.0,0
-238.0,0
-142.0,0
-161.0,0
-344.0,0
-501.0,0
-593.0,0
-650.0,0
-617.0,0
-620.0,0
-587.0,0
-588.0,0
-671.0,0
-677.0,0
-707.0,0
-529.0,0
-405.0,0
-401.0,0
-503.0,0
-670.0,0
-748.0,0
-772.0,0
5157.0,0
352.0,0
-299.0,0
-617.0,0
-644.0,0
-638.0,0
-615.0,0
-589.0,0
-529.0,0
-443.0,0
-356.0,0
-215.0,0
-80.0,0
57.0,0
85.0,0
-126.0,0
-271.0,0
-393.0,0
-415.0,0
-410.0,0
-394.0,0
-380.0,0
-351.0,0
-400.0,0
-443.0,0
-340.0,0
-301.0,0
-228.0,0
-387.0,0
-638.0,0
-624.0,0
-1640.0,0
3766.0,0
1253.0,0
-107.0,0
-575.0,0
-559.0,0
-555.0,0
-531.0,0
-438.0,0
-316.0,0
-201.0,0
-101.0,0
0.0,0
94.0,0
153.0,0
208.0,0
88.0,0
-90.0,0
-234.0,0
-334.0,0
-391.0,0
-386.0,0
-413.0,0
-413.0,0
-494.0,0
-560.0,0
-429.0,0
-352.0,0
-316.0,0
-496.0,0
-655.0,0
-646.0,0
-1581.0,0
4397.0,0
782.0,0
-37.0,0
-484.0,0
-499.0,0
-519.0,0
-452.0,0
-325.0,0
-192.0,0
-40.0,0
59.0,0
192.0,0
217.0,0
333.0,0
396.0,0
240.0,0
28.0,0
-68.0,0
-182.0,0
-263.0,0
-327.0,0
-348.0,0
-382.0,0
-436.0,0
-518.0,0
-468.0,0
-342.0,0
-207.0,0
-403.0,0
-639.0,0
-640.0,0
-1559.0,0
2890.0,0
1920.0,0
56.0,0
-386.0,0
-457.0,0
-466.0,0
-466.0,0
-305.0,0
-147.0,0
28.0,0
132.0,0
306.0,0
373.0,0
475.0,0
573.0,0
441.0,0
244.0,0
75.0,0
4.0,0
-80.0,0
-180.0,0
-232.0,0
-308.0,0
-352.0,0
-419.0,0
-408.0,0
-262.0,0
-123.0,0
-287.0,0
-419.0,0
-478.0,0
-725.0,0
979.0,0
3844.0,0
460.0,0
-52.0,0
-221.0,0
-176.0,0
-224.0,0
-79.0,0
57.0,0
218.0,0
352.0,0
473.0,0
586.0,0
651.0,0
736.0,0
671.0,0
419.0,0
207.0,0
112.0,0
-1.0,0
-128.0,0
-239.0,0
-331.0,0
-389.0,0
-487.0,0
-558.0,0
-447.0,0
-340.0,0
-271.0,0
-450.0,0
-612.0,0
-616.0,0
-1585.0,0
3409.0,0
1649.0,0
13.0,0
-406.0,0
-526.0,0
-512.0,0
-429.0,0
-282.0,0
-124.0,0
48.0,0
168.0,0
280.0,0
372.0,0
464.0,0
560.0,0
439.0,0
185.0,0
29.0,0
-112.0,0
-222.0,0
-318.0,0
-373.0,0
-463.0,0
-527.0,0
-590.0,0
-645.0,0
-583.0,0
-468.0,0
-328.0,0
-473.0,0
-632.0,0
-679.0,0
-1351.0,0
2147.0,0
2763.0,0
150.0,0
-454.0,0
-436.0,0
-443.0,0
-319.0,0
-235.0,0
-109.0,0
-4.0,0
102.0,0
140.0,0
203.0,0
226.0,0
326.0,0
211.0,0
10.0,0
-197.0,0
-330.0,0
-378.0,0
-442.0,0
-433.0,0
-498.0,0
-520.0,0
-617.0,0
-707.0,0
-771.0,0
-696.0,0
-611.0,0
-536.0,0
-645.0,0
-857.0,0
-822.0,0
-1737.0,0
4746.0,0
1040.0,0
-205.0,0
-677.0,0
-663.0,0
-591.0,0
-440.0,0
-342.0,0
-300.0,0
-255.0,0
-182.0,0
-66.0,0
3.0,0
116.0,0
181.0,0
6.0,0
-192.0,0
-337.0,0
-383.0,0
-417.0,0
-443.0,0
-440.0,0
-403.0,0
-475.0,0
-531.0,0
-635.0,0
-578.0,0
-538.0,0
-567.0,0
-754.0,0
-929.0,0
-953.0,0
-1725.0,0
4394.0,0
219.0,0
-562.0,0
-851.0,0
-818.0,0
-797.0,0
-712.0,0
-555.0,0
-387.0,0
-274.0,0
-147.0,0
-67.0,0
-18.0,0
83.0,0
97.0,0
-67.0,0
-317.0,0
-412.0,0
-487.0,0
-578.0,0
-586.0,0
-617.0,0
-650.0,0
-698.0,0
-723.0,0
-562.0,0
-436.0,0
-491.0,0
-610.0,0
-729.0,0
-790.0,0
-1035.0,0
4495.0,0
311.0,0
-267.0,0
-548.0,0
-546.0,0
-588.0,0
-464.0,0
-304.0,0
-120.0,0
87.0,0
233.0,0
355.0,0
439.0,0
560.0,0
598.0,0
423.0,0
261.0,0
122.0,0
2.0,0
-97.0,0
-177.0,0
-231.0,0
-342.0,0
-429.0,0
-487.0,0
-355.0,0
-182.0,0
-351.0,0
-541.0,0
-652.0,0
-1071.0,0
536.0,0
3507.0,0
94.0,0
-463.0,0
-649.0,0
-616.0,0
-677.0,0
-497.0,0
-366.0,0
-166.0,0
32.0,0
194.0,0
305.0,0
409.0,0
533.0,0
471.0,0
308.0,0
77.0,0
-21.0,0
-123.0,0
-237.0,0
-336.0,0
-384.0,0
-421.0,0
-512.0,0
-558.0,0
-433.0,0
-287.0,0
-461.0,0
-718.0,0
-797.0,0
-1236.0,0
571.0,0
3377.0,0
-139.0,0
-628.0,0
-812.0,0
-772.0,0
-813.0,0
-624.0,0
-445.0,0
-230.0,0
-30.0,0
92.0,0
205.0,0
292.0,0
418.0,0
343.0,0
131.0,0
-49.0,0
-152.0,0
-254.0,0
-383.0,0
-405.0,0
-468.0,0
-580.0,0
-655.0,0
-638.0,0
-581.0,0
-412.0,0
-606.0,0
-861.0,0
-852.0,0
-1921.0,0
3653.0,0
1017.0,0
-296.0,0
-738.0,0
-834.0,0
-857.0,0
-784.0,0
-646.0,0
-387.0,0
-140.0,0
51.0,0
189.0,0
325.0,0
395.0,0
469.0,0
332.0,0
133.0,0
4.0,0
-67.0,0
-219.0,0
-259.0,0
-353.0,0
-468.0,0
-511.0,0
-624.0,0
-531.0,0
-436.0,0
-553.0,0
-718.0,0
-871.0,0
-941.0,0
-1469.0,0
4714.0,0
157.0,0
-484.0,0
-780.0,0
-735.0,0
-654.0,0
-527.0,0
-337.0,0
-46.0,0
143.0,0
320.0,0
463.0,0
546.0,0
694.0,0
713.0,0
534.0,0
374.0,0
248.0,0
171.0,0
125.0,0
29.0,0
-91.0,0
-213.0,0
-330.0,0
-389.0,0
-267.0,0
-102.0,0
-300.0,0
-568.0,0
-678.0,0
-1259.0,0
1331.0,0
3321.0,0
113.0,0
-518.0,0
-559.0,0
-464.0,0
-376.0,0
-203.0,0
-71.0,0
80.0,0
226.0,0
348.0,0
469.0,0
535.0,0
620.0,0
494.0,0
272.0,0
46.0,0
-95.0,0
-181.0,0
-239.0,0
-352.0,0
-406.0,0
-436.0,0
-511.0,0
-410.0,0
-340.0,0
-232.0,0
-387.0,0
-677.0,0
-712.0,0
-1796.0,0
3597.0,0
966.0,0
-335.0,0
-849.0,0
-871.0,0
-885.0,0
-834.0,0
-711.0,0
-563.0,0
-426.0,0
-270.0,0
-130.0,0
-14.0,0
121.0,0
173.0,0
-29.0,0
-171.0,0
-223.0,0
-270.0,0
-288.0,0
-380.0,0
-387.0,0
-436.0,0
-531.0,0
-470.0,0
-329.0,0
-436.0,0
-637.0,0
-800.0,0
-871.0,0
-1507.0,0
4382.0,0
31.0,0
-535.0,0
-833.0,0
-821.0,0
-870.0,0
-733.0,0
-517.0,0
-329.0,0
-100.0,0
84.0,0
244.0,0
328.0,0
442.0,0
506.0,0
371.0,0
195.0,0
90.0,0
-11.0,0
-63.0,0
-169.0,0
-236.0,0
-372.0,0
-501.0,0
-410.0,0
-248.0,0
-414.0,0
-619.0,0
-732.0,0
-985.0,0
-743.0,0
4177.0,0
18.0,0
-583.0,0
-878.0,0
-828.0,0
-904.0,0
-725.0,0
-513.0,0
-284.0,0
-59.0,0
142.0,0
236.0,0
301.0,0
441.0,0
390.0,0
180.0,0
40.0,0
-59.0,0
-93.0,0
-236.0,0
-321.0,0
-393.0,0
-533.0,0
-559.0,0
-541.0,0
-351.0,0
-554.0,0
-760.0,0
-856.0,0
-1202.0,0
-156.0,0
3626.0,0
-144.0,0
-798.0,0
-1030.0,0
-934.0,0
-1009.0,0
-832.0,0
-616.0,0
-452.0,0
-247.0,0
-98.0,0
4.0,0
61.0,0
204.0,0
115.0,0
-101.0,0
-304.0,0
-372.0,0
-473.0,0
-556.0,0
-617.0,0
-686.0,0
-738.0,0
-823.0,0
-775.0,0
-671.0,0
-637.0,0
-766.0,0
-973.0,0
-993.0,0
-2061.0,0
3967.0,0
320.0,0
-736.0,0
-1163.0,0
-1259.0,0
-1325.0,0
-1161.0,0
-984.0,0
-803.0,0
-637.0,0
-503.0,0
-336.0,0
-247.0,0
-170.0,0
-121.0,0
-291.0,0
-457.0,0
-556.0,0
-672.0,0
-795.0,0
-848.0,0
-884.0,0
-959.0,0
-998.0,0
-1095.0,0
-918.0,0
-730.0,0
-913.0,0
-1094.0,0
-1125.0,0
-1337.0,0
-311.0,0
3618.0,0
-333.0,0
-923.0,0
-1167.0,0
-1052.0,0
-1124.0,0
-942.0,0
-785.0,0
-560.0,0
-410.0,0
-308.0,0
-219.0,0
-105.0,0
-5.0,0
-20.0,0
-172.0,0
-315.0,0
-410.0,0
-440.0,0
-498.0,0
-468.0,0
-512.0,0
-566.0,0
-627.0,0
-639.0,0
-470.0,0
-278.0,0
-443.0,0
-707.0,0
-703.0,0
-1338.0,0
1207.0,0
3113.0,0
36.0,0
-581.0,0
-615.0,0
-549.0,0
-464.0,0
-331.0,0
-212.0,0
-61.0,0
80.0,0
145.0,0
175.0,0
320.0,0
397.0,0
273.0,0
78.0,0
-93.0,0
-180.0,0
-277.0,0
-348.0,0
-349.0,0
-389.0,0
-443.0,0
-508.0,0
-576.0,0
-400.0,0
-265.0,0
-438.0,0
-614.0,0
-799.0,0
-1058.0,0
-369.0,0
4492.0,0
193.0,0
-389.0,0
-591.0,0
-602.0,0
-499.0,0
-408.0,0
-320.0,0
-188.0,0
-65.0,0
56.0,0
178.0,0
205.0,0
267.0,0
127.0,0
-127.0,0
-329.0,0
-482.0,0
-620.0,0
-709.0,0
-793.0,0
-788.0,0
-846.0,0
-943.0,0
-791.0,0
-639.0,0
-715.0,0
-846.0,0
-1044.0,0
-1090.0,0
-1872.0,0
4122.0,0
-27.0,0
-631.0,0
-935.0,0
-911.0,0
-914.0,0
-764.0,0
-614.0,0
-461.0,0
-331.0,0
-177.0,0
-72.0,0
-32.0,0
69.0,0
81.0,0
-73.0,0
-274.0,0
-359.0,0
-422.0,0
-438.0,0
-501.0,0
-487.0,0
-510.0,0
-614.0,0
-503.0,0
-429.0,0
-358.0,0
-508.0,0
-777.0,0
-798.0,0
-1779.0,0
3825.0,0
964.0,0
-310.0,0
-637.0,0
-639.0,0
-602.0,0
-511.0,0
-331.0,0
-131.0,0
77.0,0
270.0,0
367.0,0
453.0,0
534.0,0
578.0,0
414.0,0
238.0,0
69.0,0
-43.0,0
-148.0,0
-269.0,0
-333.0,0
-438.0,0
-543.0,0
-615.0,0
-492.0,0
-325.0,0
-561.0,0
-770.0,0
-882.0,0
-1181.0,0
-80.0,0
3658.0,0
-51.0,0
-624.0,0
-857.0,0
-738.0,0
-796.0,0
-580.0,0
-390.0,0
-218.0,0
-55.0,0
51.0,0
190.0,0
268.0,0
380.0,0
269.0,0
116.0,0
-122.0,0
-198.0,0
-345.0,0
-390.0,0
-464.0,0
-489.0,0
-527.0,0
-614.0,0
-517.0,0
-436.0,0
-376.0,0
-567.0,0
-804.0,0
-765.0,0
-1774.0,0
3641.0,0
776.0,0
-263.0,0
-567.0,0
-591.0,0
-590.0,0
-414.0,0
-276.0,0
-80.0,0
128.0,0
264.0,0
382.0,0
482.0,0
573.0,0
599.0,0
408.0,0
216.0,0
37.0,0
-52.0,0
-174.0,0
-240.0,0
-282.0,0
-383.0,0
-468.0,0
-551.0,0
-426.0,0
-244.0,0
-422.0,0
-622.0,0
-703.0,0
-1020.0,0
118.0,0
3866.0,0
132.0,0
-396.0,0
-550.0,0
-438.0,0
-408.0,0
-209.0,0
-10.0,0
145.0,0
309.0,0
482.0,0
547.0,0
614.0,0
739.0,0
640.0,0
448.0,0
206.0,0
40.0,0
-66.0,0
-180.0,0
-246.0,0
-330.0,0
-435.0,0
-587.0,0
-535.0,0
-503.0,0
-344.0,0
-515.0,0
-767.0,0
-707.0,0
-1711.0,0
3608.0,0
1434.0,0
0.0,0
-527.0,0
-491.0,0
-420.0,0
-335.0,0
-215.0,0
-101.0,0
14.0,0
118.0,0
205.0,0
262.0,0
341.0,0
351.0,0
168.0,0
-136.0,0
-292.0,0
-408.0,0
-447.0,0
-443.0,0
-494.0,0
-560.0,0
-643.0,0
-720.0,0
-761.0,0
-531.0,0
-331.0,0
-394.0,0
-522.0,0
-585.0,0
-691.0,0
-478.0,0
5317.0,0
539.0,0
-18.0,0
-304.0,0
-242.0,0
-180.0,0
-144.0,0
-88.0,0
-33.0,0
65.0,0
149.0,0
270.0,0
308.0,0
374.0,0
183.0,0
-66.0,0
-328.0,0
-383.0,0
-413.0,0
-414.0,0
-408.0,0
-408.0,0
-417.0,0
-533.0,0
-464.0,0
-422.0,0
-342.0,0
-546.0,0
-819.0,0
-863.0,0
-1866.0,0
3332.0,0
902.0,0
-435.0,0
-854.0,0
-766.0,0
-706.0,0
-642.0,0
-510.0,0
-351.0,0
-250.0,0
-73.0,0
-5.0,0
97.0,0
167.0,0
171.0,0
-34.0,0
-245.0,0
-403.0,0
-501.0,0
-562.0,0
-617.0,0
-647.0,0
-726.0,0
-848.0,0
-861.0,0
-786.0,0
-587.0,0
-806.0,0
-1037.0,0
-1062.0,0
-1444.0,0
312.0,0
2932.0,0
-269.0,0
-789.0,0
-959.0,0
-856.0,0
-902.0,0
-726.0,0
-588.0,0
-348.0,0
-184.0,0
-71.0,0
26.0,0
88.0,0
140.0,0
-7.0,0
-230.0,0
-385.0,0
-443.0,0
-512.0,0
-528.0,0
-552.0,0
-611.0,0
-695.0,0
